Element[0]-1| Random: [1]
Element[1]-1| Random: [0]
Element[2]-1| Random: [1]
Element[3]-1| Random: [0]
Element[4]-1| Random: [1]
Element[5]-1| Random: [0]
Element[6]-1| Random: [1]
Element[7]-1| Random: [0]
Element[8]-1| Random: [0]
Element[9]-1| Random: [1]
Element[10]-1| Random: [1]
Element[11]-1| Random: [0]
Element[12]-1| Random: [1]
Element[13]-1| Random: [0]
Element[14]-1| Random: [0]
Element[15]-1| Random: [1]
Element[16]-1| Random: [0]
Element[17]-1| Random: [1]
Element[18]-1| Random: [1]
Element[19]-1| Random: [1]
Element[20]-1| Random: [1]
Element[21]-1| Random: [0]
Element[22]-1| Random: [0]
Element[23]-1| Random: [1]
Element[24]-1| Random: [1]
Element[25]-1| Random: [0]
Element[26]-1| Random: [1]
Element[27]-1| Random: [0]
Element[28]-1| Random: [0]
Element[29]-1| Random: [1]
Element[30]-1| Random: [1]
Element[31]-1| Random: [1]
Element[32]0| Random: [0]
Element[33]0| Random: [0]
Element[34]-1| Random: [1]
Element[35]-1| Random: [1]
Element[36]-1| Random: [0]
Element[37]-1| Random: [1]
Element[38]-1| Random: [1]
Element[39]-1| Random: [1]
Element[40]-1| Random: [0]
Element[41]-1| Random: [0]
Element[42]-1| Random: [0]
Element[43]-1| Random: [0]
Element[44]-1| Random: [1]
Element[45]-1| Random: [0]
Element[46]-1| Random: [0]
Element[47]-1| Random: [0]
Element[48]-1| Random: [0]
Element[49]-1| Random: [1]
Element[50]-1| Random: [0]
Element[51]-1| Random: [0]
Element[52]-1| Random: [0]
Element[53]-1| Random: [0]
Element[54]-1| Random: [0]
Element[55]-1| Random: [0]
Element[56]-1| Random: [1]
Element[57]-1| Random: [0]
Element[58]-1| Random: [1]
Element[59]-1| Random: [0]
Element[60]-1| Random: [1]
Element[61]-1| Random: [0]
Element[62]-1| Random: [1]
Element[63]-1| Random: [1]
Element[64]-1| Random: [0]
Element[65]-1| Random: [0]
Element[66]-1| Random: [1]
Element[67]-1| Random: [1]
Element[68]-1| Random: [0]
Element[69]-1| Random: [1]
Element[70]-1| Random: [0]
Element[71]-1| Random: [1]
Element[72]-1| Random: [0]
Element[73]-1| Random: [1]
Element[74]-1| Random: [0]
Element[75]-1| Random: [0]
Element[76]-1| Random: [1]
Element[77]-1| Random: [1]
Element[78]-1| Random: [0]
Element[79]-1| Random: [1]
Element[80]-1| Random: [0]
Element[81]-1| Random: [0]
Element[82]-1| Random: [1]
Element[83]-1| Random: [1]
Element[84]-1| Random: [1]
Element[85]-1| Random: [1]
Element[86]-1| Random: [1]
Element[87]-1| Random: [0]
Element[88]-1| Random: [0]
Element[89]-1| Random: [1]
Element[90]-1| Random: [1]
Element[91]-1| Random: [1]
Element[92]-1| Random: [0]
Element[93]-1| Random: [1]
Element[94]-1| Random: [1]
Element[95]-1| Random: [0]
Element[96]-1| Random: [1]
Element[97]-1| Random: [0]
Element[98]-1| Random: [0]
Element[99]-1| Random: [1]
Element[100]-1| Random: [0]
Element[101]-1| Random: [0]
Element[102]-1| Random: [1]
Element[103]-1| Random: [1]
Element[104]-1| Random: [1]
Element[105]-1| Random: [1]
Element[106]-1| Random: [1]
Element[107]-1| Random: [1]
Element[108]-1| Random: [1]
Element[109]-1| Random: [0]
Element[110]-1| Random: [1]
Element[111]-1| Random: [1]
Element[112]-1| Random: [1]
Element[113]-1| Random: [1]
Element[114]-1| Random: [0]
Element[115]-1| Random: [0]
Element[116]-1| Random: [1]
Element[117]-1| Random: [1]
Element[118]-1| Random: [1]
Element[119]-1| Random: [0]
Element[120]-1| Random: [0]
Element[121]-1| Random: [0]
Element[122]-1| Random: [0]
Element[123]-1| Random: [0]
Element[124]-1| Random: [0]
Element[125]-1| Random: [0]
Element[126]-1| Random: [0]
Element[127]-1| Random: [0]
Element[128]-1| Random: [1]
Element[129]-1| Random: [1]
Element[130]-1| Random: [0]
Element[131]-1| Random: [1]
Element[132]-1| Random: [0]
Element[133]-1| Random: [0]
Element[134]-1| Random: [1]
Element[135]-1| Random: [1]
Element[136]-1| Random: [0]
Element[137]-1| Random: [0]
Element[138]-1| Random: [1]
Element[139]-1| Random: [0]
Element[140]-1| Random: [1]
Element[141]-1| Random: [0]
Element[142]-1| Random: [0]
Element[143]-1| Random: [1]
Element[144]-1| Random: [0]
Element[145]-1| Random: [0]
Element[146]-1| Random: [0]
Element[147]-1| Random: [0]
Element[148]-1| Random: [1]
Element[149]-1| Random: [1]
Element[150]-1| Random: [1]
Element[151]-1| Random: [1]
Element[152]-1| Random: [1]
Element[153]-1| Random: [0]
Element[154]-1| Random: [1]
Element[155]-1| Random: [1]
